Date,Price,Open,High,Low,Vol.,Change %
21-04-2022,448.05,444.50,449.35,441.05,14120000.00,1.70%
22-04-2022,438.85,442.05,447.25,438.00,14360000.00,-2.05%
25-04-2022,425.15,432.75,436.00,423.15,14730000.00,-3.12%
26-04-2022,434.90,433.90,437.45,431.60,13580000.00,2.29%
27-04-2022,430.25,429.25,432.95,425.10,13700000.00,-1.07%
28-04-2022,436.05,434.80,439.20,430.80,13880000.00,1.35%
29-04-2022,437.60,440.20,447.75,436.00,21990000.00,0.36%
02-05-2022,432.85,437.95,442.95,428.50,18950000.00,-1.09%
04-05-2022,423.50,437.95,440.60,420.70,14930000.00,-2.16%
05-05-2022,426.30,429.00,434.00,423.70,12240000.00,0.66%
06-05-2022,408.55,418.85,420.20,407.00,25140000.00,-4.16%
09-05-2022,403.95,407.15,407.40,395.00,18080000.00,-1.13%
10-05-2022,391.75,400.00,408.50,389.60,16540000.00,-3.02%
11-05-2022,388.15,396.00,397.00,377.55,29220000.00,-0.92%
12-05-2022,372.30,382.00,384.65,366.20,33510000.00,-4.08%
13-05-2022,404.30,387.00,419.35,387.00,71430000.00,8.60%
16-05-2022,405.35,411.90,411.90,396.25,24940000.00,0.26%
17-05-2022,424.15,408.40,425.65,405.00,24650000.00,4.64%
18-05-2022,415.15,424.00,427.35,414.05,20490000.00,-2.12%
19-05-2022,398.65,400.00,406.80,396.20,17710000.00,-3.97%
20-05-2022,418.00,410.00,421.40,410.00,23500000.00,4.85%
23-05-2022,421.45,421.65,431.15,419.55,16350000.00,0.83%
24-05-2022,425.75,423.90,427.50,416.00,14530000.00,1.02%
25-05-2022,417.00,428.45,429.00,413.45,13540000.00,-2.06%
26-05-2022,420.65,422.00,422.65,405.00,17710000.00,0.88%
27-05-2022,429.60,426.05,433.25,425.20,16870000.00,2.13%
30-05-2022,442.40,437.00,445.20,436.00,18500000.00,2.98%
31-05-2022,443.55,443.95,449.50,440.40,22310000.00,0.26%
01-06-2022,444.60,445.10,446.00,439.60,11930000.00,0.24%
02-06-2022,439.15,445.00,445.60,435.65,12740000.00,-1.23%
03-06-2022,431.90,444.90,445.05,430.50,12780000.00,-1.65%
06-06-2022,432.35,427.90,433.95,424.60,11900000.00,0.10%
07-06-2022,435.85,432.50,438.20,429.10,11150000.00,0.81%
08-06-2022,435.65,438.70,440.40,432.00,12840000.00,-0.05%
09-06-2022,428.50,431.90,435.65,426.10,13040000.00,-1.64%
10-06-2022,428.05,423.00,428.85,422.00,11910000.00,-0.11%
13-06-2022,406.70,414.90,418.15,405.60,17440000.00,-4.99%
14-06-2022,405.15,403.00,411.85,397.70,19630000.00,-0.38%
15-06-2022,414.10,410.00,416.40,407.45,15190000.00,2.21%
16-06-2022,392.95,420.00,420.90,390.10,22260000.00,-5.11%
17-06-2022,388.95,387.95,394.45,382.65,24820000.00,-1.02%
20-06-2022,382.70,390.55,392.95,376.65,17050000.00,-1.61%
21-06-2022,397.60,389.00,399.00,387.00,14740000.00,3.89%
22-06-2022,393.10,396.40,397.00,390.50,12430000.00,-1.13%
23-06-2022,407.20,396.30,409.90,394.55,26510000.00,3.59%
24-06-2022,409.30,410.00,412.85,406.15,14810000.00,0.52%
27-06-2022,414.50,417.55,419.45,412.35,12020000.00,1.27%
28-06-2022,417.10,411.30,418.20,409.15,13240000.00,0.63%
29-06-2022,416.95,412.05,419.90,411.55,13100000.00,-0.04%
30-06-2022,411.80,418.30,424.00,410.00,20120000.00,-1.24%
01-07-2022,411.43,409.39,413.33,401.06,14730000.00,-0.09%
04-07-2022,407.19,410.28,413.62,403.75,11530000.00,-1.03%
05-07-2022,410.73,413.72,417.51,408.94,16770000.00,0.87%
06-07-2022,415.07,412.73,416.02,409.39,12200000.00,1.06%
